city,date,hour,rolling_avg_temperature_c,rolling_avg_pressure_mm,is_rain_start
Novosibirsk,2024-02-15,13,-25.5,750.25,False
Novosibirsk,2024-02-15,14,-25.25,750.5,False
Novosibirsk,2024-02-15,15,-24.75,751.0,False
Novosibirsk,2024-02-15,16,-24.75,751.5,False
Novosibirsk,2024-02-15,17,-24.75,751.25,False
Novosibirsk,2024-02-15,18,-24.75,751.25,False
Novosibirsk,2024-02-15,19,-25.0,751.75,False
Novosibirsk,2024-02-15,20,-25.75,751.75,False
Novosibirsk,2024-02-15,21,-26.5,752.0,False
Novosibirsk,2024-02-15,22,-27.5,752.5,False
Novosibirsk,2024-02-15,23,-28.75,752.25,False
Novosibirsk,2024-02-16,0,-30.0,752.0,False
Novosibirsk,2024-02-16,1,-30.0,752.5,False
Novosibirsk,2024-02-16,2,-30.333333333333332,752.3333333333334,False
Novosibirsk,2024-02-16,3,-30.5,752.5,False
Novosibirsk,2024-02-16,4,-30.75,753.0,False
Novosibirsk,2024-02-16,5,-31.0,753.0,True
Novosibirsk,2024-02-16,6,-31.25,753.25,False
Novosibirsk,2024-02-16,7,-31.5,753.75,False
Novosibirsk,2024-02-16,8,-31.75,753.75,False
Novosibirsk,2024-02-16,9,-32.0,754.25,False
Novosibirsk,2024-02-16,10,-31.75,755.25,False
Novosibirsk,2024-02-16,11,-31.25,755.5,False
Novosibirsk,2024-02-16,12,-30.25,756.0,False
Novosibirsk,2024-02-16,13,-28.75,756.75,False
Novosibirsk,2024-02-16,14,-27.25,756.75,False
Novosibirsk,2024-02-16,15,-25.75,757.0,False
Novosibirsk,2024-02-16,16,-24.5,757.75,False
Novosibirsk,2024-02-16,17,-23.75,757.75,False
Novosibirsk,2024-02-16,18,-23.25,758.0,False
Novosibirsk,2024-02-16,19,-23.25,758.75,False
Novosibirsk,2024-02-16,20,-23.75,758.75,False
Novosibirsk,2024-02-16,21,-24.25,759.25,False
Novosibirsk,2024-02-16,22,-25.0,760.0,False
Novosibirsk,2024-02-16,23,-25.5,760.0,False
Novosibirsk,2024-02-17,0,-26.0,760.0,True
Novosibirsk,2024-02-17,1,-25.5,761.0,False
Novosibirsk,2024-02-17,2,-25.666666666666668,761.0,False
Novosibirsk,2024-02-17,3,-25.75,761.0,False
Novosibirsk,2024-02-17,4,-25.5,761.75,False
Novosibirsk,2024-02-17,5,-25.5,761.75,False
Novosibirsk,2024-02-17,6,-25.25,762.0,False
Novosibirsk,2024-02-17,7,-24.75,762.5,False
Novosibirsk,2024-02-17,8,-24.5,762.25,False
Novosibirsk,2024-02-17,9,-24.25,762.25,False
Novosibirsk,2024-02-17,10,-24.0,762.5,False
Novosibirsk,2024-02-17,11,-23.75,762.25,False
Novosibirsk,2024-02-17,12,-23.25,762.25,False
Novosibirsk,2024-02-17,13,-22.5,762.75,False
Novosibirsk,2024-02-17,14,-21.5,762.5,False
Novosibirsk,2024-02-17,15,-20.75,762.5,False
Novosibirsk,2024-02-17,16,-20.25,763.0,False
Novosibirsk,2024-02-17,17,-19.75,762.5,False
Novosibirsk,2024-02-17,18,-19.5,762.75,False
Novosibirsk,2024-02-17,19,-19.75,763.25,False
Novosibirsk,2024-02-17,20,-20.25,763.25,False
Novosibirsk,2024-02-17,21,-21.0,763.5,False
Novosibirsk,2024-02-17,22,-22.0,764.0,False
Novosibirsk,2024-02-17,23,-22.5,764.0,False
Novosibirsk,2024-02-18,0,-24.0,764.0,True
Novosibirsk,2024-02-18,1,-25.0,764.5,False
Novosibirsk,2024-02-18,2,-25.333333333333332,764.3333333333334,False
Novosibirsk,2024-02-18,3,-25.5,764.25,False
Novosibirsk,2024-02-18,4,-26.0,764.5,False
Novosibirsk,2024-02-18,5,-26.25,764.25,False
Novosibirsk,2024-02-18,6,-26.5,764.25,False
Novosibirsk,2024-02-18,7,-26.75,764.5,False
Novosibirsk,2024-02-18,8,-27.25,764.5,False
Novosibirsk,2024-02-18,9,-27.5,764.75,False
Novosibirsk,2024-02-18,10,-27.75,765.5,False
Novosibirsk,2024-02-18,11,-27.5,765.75,False
Novosibirsk,2024-02-18,12,-26.75,766.0,False
Novosibirsk,2024-02-18,13,-25.5,766.75,False
Novosibirsk,2024-02-18,14,-24.0,766.5,False
Novosibirsk,2024-02-18,15,-22.75,766.5,False
Novosibirsk,2024-02-18,16,-21.75,767.0,False
Novosibirsk,2024-02-18,17,-21.25,766.5,False
St. Petersburg,2024-02-15,0,-7.0,768.0,False
St. Petersburg,2024-02-15,1,-7.0,767.5,False
St. Petersburg,2024-02-15,2,-7.0,767.3333333333334,False
St. Petersburg,2024-02-15,3,-7.0,767.25,False
St. Petersburg,2024-02-15,4,-7.0,767.25,False
St. Petersburg,2024-02-15,5,-7.0,767.5,False
St. Petersburg,2024-02-15,6,-7.0,767.5,False
St. Petersburg,2024-02-15,7,-7.0,767.75,False
St. Petersburg,2024-02-15,8,-7.25,767.75,False
St. Petersburg,2024-02-15,9,-7.5,767.75,False
St. Petersburg,2024-02-15,10,-7.5,768.0,False
St. Petersburg,2024-02-15,11,-7.5,768.0,False
St. Petersburg,2024-02-15,12,-7.25,768.25,False
St. Petersburg,2024-02-15,13,-6.75,768.25,False
St. Petersburg,2024-02-15,14,-6.5,768.25,False
St. Petersburg,2024-02-15,15,-6.0,768.5,False
St. Petersburg,2024-02-15,16,-5.5,768.5,False
St. Petersburg,2024-02-15,17,-5.25,768.75,False
St. Petersburg,2024-02-15,18,-5.0,769.0,False
St. Petersburg,2024-02-15,19,-5.0,769.0,False
St. Petersburg,2024-02-15,20,-5.0,769.0,False
St. Petersburg,2024-02-15,21,-5.0,769.0,True
